Country;Category 1;Category 2;Product;Year;Outcome;;;;;;;;;;;;;;;;;;"Fuente: Declaraciones de Ingreso (DIN); importaciones a titulo definitivo ajustadas con sus documentos modificatorios. Servicio Nacional de Aduanas"
Afganistan;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2019;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2019;795,04;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2019;256,75;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2019;790,56;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2019;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2019;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Komputery i ich części;2019;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Telewizory;2019;0,00;;;;;;;;;;;;;;;;;;
Afganistan;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2019;482,75;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2020;1993,01;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2020;5460,58;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2020;2982,96;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2020;10218,55;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2020;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2020;274,06;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Komputery i ich części;2020;1536,39;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Telewizory;2020;0,00;;;;;;;;;;;;;;;;;;
Afganistan;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2020;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2021;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2021;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2021;198,79;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2021;491,12;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2021;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2021;2682,81;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Komputery i ich części;2021;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Telewizory;2021;119,99;;;;;;;;;;;;;;;;;;
Afganistan;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2021;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2017;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2017;362,61;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2017;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Silniki elektryczne i generatory;2017;684,59;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2017;19824,59;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2017;392355,44;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2017;61775,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2017;92523,82;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2017;10846,46;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2017;64,02;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Ciągniki, traktory;2017;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Tecnología;Komputery i ich części;2017;0,00;;;;;;;;;;;;;;;;;;
Albania;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2017;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2018;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2018;285,06;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2018;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Silniki elektryczne i generatory;2018;786,36;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2018;24875,27;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2018;399052,32;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2018;309164,61;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2018;74766,13;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2018;2344,27;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2018;4341,16;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Ciągniki, traktory;2018;48437,86;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Tecnología;Komputery i ich części;2018;84,11;;;;;;;;;;;;;;;;;;
Albania;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2018;648,98;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2019;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2019;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2019;2632,74;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Silniki elektryczne i generatory;2019;257855,97;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2019;66539,13;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2019;445733,31;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2019;24781,30;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2019;189779,06;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2019;47299,90;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2019;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Ciągniki, traktory;2019;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Tecnología;Komputery i ich części;2019;0,00;;;;;;;;;;;;;;;;;;
Albania;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2019;3230,86;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2020;1126,22;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2020;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2020;220,16;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Silniki elektryczne i generatory;2020;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2020;1275101,85;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2020;124310,82;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2020;787,85;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2020;52554,04;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2020;5356,65;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2020;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Ciągniki, traktory;2020;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Tecnología;Komputery i ich części;2020;0,00;;;;;;;;;;;;;;;;;;
Albania;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2020;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2021;116,10;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2021;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2021;4102,22;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Silniki elektryczne i generatory;2021;307,70;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2021;102529,50;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2021;164669,27;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2021;179318,30;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2021;55707,48;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2021;13234,59;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2021;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Medios de transporte y sus partes;Ciągniki, traktory;2021;0,00;;;;;;;;;;;;;;;;;;
Albania;No Combustibles;Tecnología;Komputery i ich części;2021;0,00;;;;;;;;;;;;;;;;;;
Albania;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2021;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2017;2878,12;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2017;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2017;1884,77;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2017;65,49;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2017;54,87;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2017;75,27;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Alimentos;Pozostałe produkty spożywcze;2017;0,00;;;;;;;;;;;;;;;;;;
Algieria;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2017;131,78;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2018;1700,55;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2018;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2018;58,94;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2018;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2018;93,45;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2018;232,12;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Alimentos;Pozostałe produkty spożywcze;2018;0,00;;;;;;;;;;;;;;;;;;
Algieria;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2018;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2019;5855,47;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2019;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2019;5421,70;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2019;877,23;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2019;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2019;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Alimentos;Pozostałe produkty spożywcze;2019;0,00;;;;;;;;;;;;;;;;;;
Algieria;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2019;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2020;1169,30;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2020;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2020;1695,39;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2020;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2020;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2020;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Alimentos;Pozostałe produkty spożywcze;2020;0,00;;;;;;;;;;;;;;;;;;
Algieria;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2020;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2021;69074,07;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2021;108,60;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2021;570,77;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2021;0,00;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2021;556,39;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2021;857,63;;;;;;;;;;;;;;;;;;
Algieria;No Combustibles;Alimentos;Pozostałe produkty spożywcze;2021;91,41;;;;;;;;;;;;;;;;;;
Algieria;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2021;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2017;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2017;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2017;568,39;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2017;531783,15;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2017;27818,72;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2017;5473,05;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2017;342,46;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2017;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2017;2817,12;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Telefony komórkowe;2017;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Komputery i ich części;2017;1130,56;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Konsole do gier wideo;2017;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Forestales y sus derivados;Papier i tektura oraz ich wyroby;2017;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2018;57,79;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2018;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2018;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2018;4594,91;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2018;38096,76;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2018;17849,11;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2018;695,91;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2018;99,42;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2018;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Telefony komórkowe;2018;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Komputery i ich części;2018;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Konsole do gier wideo;2018;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Forestales y sus derivados;Papier i tektura oraz ich wyroby;2018;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2019;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2019;2556,31;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2019;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2019;29385,54;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2019;8736,36;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2019;25266,87;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2019;2766,40;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2019;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2019;11928,15;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Telefony komórkowe;2019;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Komputery i ich części;2019;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Konsole do gier wideo;2019;819,61;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Forestales y sus derivados;Papier i tektura oraz ich wyroby;2019;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2020;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2020;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2020;765,12;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2020;7995,31;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2020;2196,46;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2020;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2020;321,40;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2020;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2020;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Telefony komórkowe;2020;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Komputery i ich części;2020;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Tecnología;Konsole do gier wideo;2020;3394,87;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Forestales y sus derivados;Papier i tektura oraz ich wyroby;2020;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Armatura łazienkowa i części;2021;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pompy do cieczy oraz ich części;2021;0,00;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Maszyny i aparatura do filtrowania lub oczyszczania cieczy oraz ich części;2021;844,31;;;;;;;;;;;;;;;;;;
Andora;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2021;39268,11;;;;;;;;;;;;;;;;;;
